px,x,y1,y2
669,-45,-60,35
665,-45,-59,33
661,-45,-58,30
657,-46,-58,28
653,-46,-57,26
649,-46,-56,24
645,-46,-55,23
641,-46,-55,21
637,-46,-54,19
633,-46,-53,18
629,-46,-53,17
625,-46,-52,15
621,-46,-51,14
617,-46,-51,13
613,-46,-50,12
609,-46,-49,11
605,-46,-49,10
601,-46,-48,9
597,-46,-48,9
593,-46,-47,8
589,-46,-47,7
585,-45,-46,7
581,-45,-46,6
577,-45,-45,6
573,-45,-44,6
570,-45,-44,6
566,-44,-44,6
562,-44,-43,6
558,-44,-43,6
554,-44,-42,6
550,-43,-42,6
546,-43,-41,6
542,-43,-41,6
538,-42,-40,6
534,-42,-40,7
531,-42,-40,7
527,-41,-39,8
523,-41,-39,8
519,-41,-39,9
515,-40,-38,9
511,-40,-38,10
507,-39,-38,11
504,-39,-37,11
500,-38,-37,12
496,-38,-37,13
492,-37,-36,14
488,-37,-36,15
484,-36,-36,15
481,-36,-35,16
477,-35,-35,17
473,-35,-35,18
469,-34,-35,19
465,-34,-34,20
462,-33,-34,21
458,-33,-34,22
454,-32,-34,23
450,-31,-34,24
447,-31,-33,26
443,-30,-33,27
439,-30,-33,28
435,-29,-33,29
431,-28,-33,30
428,-28,-32,31
424,-27,-32,32
420,-26,-32,33
416,-26,-32,35
413,-25,-32,36
409,-24,-32,37
405,-24,-32,38
402,-23,-32,39
398,-22,-31,40
394,-22,-31,41
390,-21,-31,42
387,-20,-31,43
383,-20,-31,44
379,-19,-31,45
376,-18,-31,46
372,-17,-31,47
368,-17,-31,48
365,-16,-31,49
361,-15,-31,50
357,-14,-30,51
354,-14,-30,52
350,-13,-30,53
346,-12,-30,54
343,-11,-30,54
339,-11,-30,55
335,-10,-30,56
332,-9,-30,56
328,-8,-30,57
324,-7,-30,57
321,-7,-30,58
317,-6,-30,58
313,-5,-30,59
310,-4,-30,59
306,-4,-30,59
303,-3,-30,60
299,-2,-30,60
295,-1,-30,60
292,0,-30,60
288,0,-30,60
285,1,-30,60
281,2,-30,60
277,3,-30,60
274,4,-30,59
270,4,-30,59
267,5,-30,59
263,6,-30,58
260,7,-30,58
256,7,-30,57
252,8,-30,57
249,9,-30,56
245,10,-30,56
242,11,-30,55
238,11,-30,54
235,12,-30,54
231,13,-30,53
228,14,-30,52
224,14,-30,51
221,15,-31,50
217,16,-31,49
214,17,-31,48
210,17,-31,47
207,18,-31,46
203,19,-31,45
200,20,-31,44
196,20,-31,43
193,21,-31,42
189,22,-31,41
186,22,-31,40
182,23,-32,39
179,24,-32,38
175,24,-32,37
172,25,-32,36
168,26,-32,35
165,26,-32,33
161,27,-32,32
158,28,-32,31
155,28,-33,30
151,29,-33,29
148,30,-33,28
144,30,-33,27
141,31,-33,26
137,31,-34,24
134,32,-34,23
130,33,-34,22
127,33,-34,21
124,34,-34,20
120,34,-35,19
117,35,-35,18
113,35,-35,17
110,36,-35,16
107,36,-36,15
103,37,-36,15
100,37,-36,14
96,38,-37,13
93,38,-37,12
90,39,-37,11
86,39,-38,11
83,40,-38,10
80,40,-38,9
76,41,-39,9
73,41,-39,8
70,41,-39,8
66,42,-40,7
63,42,-40,7
60,42,-40,6
56,43,-41,6
53,43,-41,6
50,43,-42,6
46,44,-42,6
43,44,-43,6
40,44,-43,6
36,44,-44,6
33,45,-44,6
30,45,-44,6
26,45,-45,6
23,45,-46,6
20,45,-46,7
16,46,-47,7
13,46,-47,8
10,46,-48,9
7,46,-48,9
3,46,-49,10
0,46,-49,11
-3,46,-50,12
-7,46,-51,13
-10,46,-51,14
-13,46,-52,15
-16,46,-53,17
-20,46,-53,18
-23,46,-54,19
-26,46,-55,21
-29,46,-55,23
-33,46,-56,24
-36,46,-57,26
-39,46,-58,28
-42,45,-58,30
-46,45,-59,33
-49,45,-60,35
