px,x,y1,y2
462,-40,-45,38
460,-40,-45,37
459,-40,-44,36
457,-40,-44,35
456,-40,-44,35
454,-40,-43,34
452,-40,-43,33
451,-40,-43,32
449,-40,-43,31
447,-39,-42,30
446,-39,-42,30
444,-39,-42,29
442,-39,-41,28
441,-39,-41,28
439,-39,-41,27
437,-39,-41,26
436,-39,-40,26
434,-38,-40,25
432,-38,-40,24
430,-38,-40,24
429,-38,-39,23
427,-38,-39,23
425,-37,-39,22
424,-37,-39,22
422,-37,-39,22
420,-37,-39,21
418,-37,-38,21
417,-36,-38,21
415,-36,-38,21
413,-36,-38,20
411,-36,-38,20
410,-35,-38,20
408,-35,-38,20
406,-35,-38,20
404,-35,-38,20
402,-35,-38,20
401,-34,-38,20
399,-34,-38,20
397,-34,-38,20
395,-33,-38,20
393,-33,-38,20
392,-33,-38,20
390,-32,-38,20
388,-32,-38,21
386,-31,-38,21
384,-31,-38,21
383,-30,-38,21
381,-30,-38,21
379,-30,-38,21
377,-29,-38,21
375,-29,-38,21
373,-28,-38,22
371,-28,-38,22
369,-27,-38,22
368,-26,-38,22
366,-26,-38,22
364,-25,-38,23
362,-25,-38,23
360,-24,-38,23
358,-24,-38,23
356,-23,-38,23
354,-23,-38,24
352,-22,-38,24
350,-22,-38,24
348,-21,-38,24
346,-21,-38,25
345,-20,-38,25
343,-20,-38,25
341,-19,-38,26
339,-19,-38,26
337,-18,-38,27
335,-17,-38,28
333,-17,-37,29
330,-16,-37,30
328,-16,-37,31
326,-15,-37,32
324,-15,-36,34
322,-14,-36,35
320,-13,-36,36
318,-13,-35,38
316,-12,-35,39
314,-12,-35,41
312,-11,-34,42
310,-10,-34,44
308,-10,-34,45
305,-9,-33,47
303,-8,-33,48
301,-8,-33,50
299,-7,-32,51
297,-7,-32,52
295,-6,-32,54
293,-5,-31,55
291,-5,-31,56
289,-4,-31,57
287,-3,-31,58
285,-3,-30,58
283,-2,-30,59
281,-2,-30,59
279,-1,-30,60
277,0,-30,60
275,0,-30,60
273,1,-30,60
271,2,-30,59
269,2,-30,59
268,3,-30,58
266,3,-31,58
264,4,-31,57
262,5,-31,56
260,5,-31,55
258,6,-32,53
257,7,-32,52
255,7,-32,51
253,8,-33,50
251,8,-33,48
249,9,-33,47
248,10,-34,45
246,10,-34,44
244,11,-34,42
242,12,-35,41
241,12,-35,39
239,13,-35,38
237,13,-36,36
235,14,-36,35
233,15,-36,33
232,15,-37,32
230,16,-37,31
228,16,-37,30
226,17,-37,29
224,18,-38,28
223,18,-38,27
221,19,-38,26
219,19,-38,26
217,20,-38,25
215,20,-38,25
213,21,-38,25
211,21,-38,24
209,22,-38,24
207,22,-38,24
205,23,-38,24
203,23,-38,23
202,24,-38,23
200,24,-38,23
198,25,-38,23
196,26,-38,23
194,26,-38,22
192,27,-38,22
190,27,-38,22
188,28,-38,22
186,28,-38,22
184,29,-38,21
181,29,-38,21
179,30,-38,21
177,30,-38,21
175,30,-38,21
173,31,-38,21
171,31,-38,21
169,32,-38,21
167,32,-38,20
165,33,-38,20
163,33,-38,20
162,33,-38,20
160,34,-38,20
158,34,-38,20
156,34,-38,20
154,35,-38,20
152,35,-38,20
150,35,-38,20
148,35,-38,20
146,35,-38,20
144,36,-38,20
142,36,-38,20
141,36,-38,21
139,36,-38,21
137,37,-38,21
135,37,-39,21
133,37,-39,22
131,37,-39,22
129,37,-39,22
128,38,-39,23
126,38,-39,23
124,38,-40,24
122,38,-40,24
120,38,-40,25
118,39,-40,26
117,39,-41,26
115,39,-41,27
113,39,-41,28
111,39,-41,28
109,39,-42,29
108,39,-42,30
106,39,-42,30
104,40,-43,31
102,40,-43,32
101,40,-43,33
99,40,-43,34
97,40,-44,35
95,40,-44,35
93,40,-44,36
92,40,-45,37
90,40,-45,38
