px,x,y1,y2
462,-40,-45,38
460,-40,-44,38
459,-40,-44,37
457,-40,-43,37
455,-40,-43,36
454,-40,-42,36
452,-40,-42,35
450,-40,-41,35
449,-40,-41,34
447,-40,-41,34
445,-40,-40,33
444,-40,-40,33
442,-40,-40,32
440,-40,-40,31
439,-39,-39,31
437,-39,-39,30
435,-39,-39,30
433,-39,-39,29
432,-39,-39,28
430,-39,-38,28
428,-38,-38,27
427,-38,-38,27
425,-38,-38,26
423,-38,-38,25
422,-38,-38,25
420,-37,-38,24
418,-37,-38,24
416,-37,-38,23
415,-37,-38,23
413,-36,-38,22
411,-36,-38,21
410,-36,-38,21
408,-35,-38,20
406,-35,-38,20
404,-35,-38,20
403,-34,-38,19
401,-34,-38,19
399,-34,-38,18
397,-33,-38,18
395,-33,-38,18
394,-33,-38,17
392,-32,-38,17
390,-32,-39,17
388,-31,-39,17
386,-31,-39,17
385,-30,-39,16
383,-30,-39,16
381,-30,-39,16
379,-29,-39,16
377,-29,-39,16
375,-28,-39,16
374,-28,-39,17
372,-27,-39,17
370,-27,-39,17
368,-26,-39,17
366,-26,-39,17
364,-25,-39,18
362,-25,-39,18
360,-24,-39,19
358,-24,-39,19
356,-23,-39,20
354,-23,-39,21
353,-22,-39,21
351,-22,-39,22
349,-21,-38,23
347,-21,-38,24
345,-20,-38,25
343,-20,-38,26
340,-19,-38,27
338,-18,-37,28
336,-18,-37,29
334,-17,-37,30
332,-17,-37,32
330,-16,-36,33
328,-16,-36,34
326,-15,-36,36
324,-14,-35,37
322,-14,-35,39
320,-13,-35,40
318,-13,-34,41
316,-12,-34,43
314,-11,-34,44
311,-11,-33,46
309,-10,-33,47
307,-10,-33,48
305,-9,-33,49
303,-8,-32,51
301,-8,-32,52
299,-7,-32,53
297,-7,-31,54
295,-6,-31,55
293,-5,-31,56
291,-5,-31,57
289,-4,-31,58
287,-3,-30,58
285,-3,-30,59
283,-2,-30,59
281,-2,-30,60
279,-1,-30,60
277,0,-30,60
275,0,-30,60
273,1,-30,60
271,2,-30,60
269,2,-30,59
267,3,-30,59
266,3,-30,58
264,4,-31,57
262,5,-31,57
260,5,-31,56
258,6,-31,55
256,7,-31,54
255,7,-32,53
253,8,-32,52
251,8,-32,51
249,9,-33,49
248,10,-33,48
246,10,-33,47
244,11,-34,45
242,12,-34,44
240,12,-34,43
239,13,-34,41
237,13,-35,40
235,14,-35,38
233,15,-35,37
232,15,-36,36
230,16,-36,34
228,16,-36,33
226,17,-37,32
224,17,-37,30
223,18,-37,29
221,19,-37,28
219,19,-38,27
217,20,-38,26
215,20,-38,25
213,21,-38,24
211,21,-38,23
209,22,-39,22
208,22,-39,21
206,23,-39,20
204,23,-39,20
202,24,-39,19
200,24,-39,19
198,25,-39,18
196,25,-39,18
194,26,-39,17
192,26,-39,17
190,27,-39,17
188,27,-39,17
186,28,-39,16
184,28,-39,16
182,29,-39,16
180,29,-39,16
178,30,-39,16
176,30,-39,16
174,31,-39,16
172,31,-39,17
170,31,-39,17
168,32,-39,17
166,32,-38,17
164,33,-38,17
162,33,-38,18
160,33,-38,18
158,34,-38,18
156,34,-38,19
154,34,-38,19
152,35,-38,20
150,35,-38,20
148,35,-38,20
146,36,-38,21
144,36,-38,21
142,36,-38,22
140,37,-38,23
138,37,-38,23
136,37,-38,24
134,37,-38,24
132,38,-38,25
130,38,-38,25
128,38,-38,26
127,38,-38,27
125,38,-38,27
123,39,-38,28
121,39,-39,28
119,39,-39,29
117,39,-39,30
115,39,-39,30
114,39,-39,31
112,39,-40,31
110,40,-40,32
108,40,-40,33
107,40,-40,33
105,40,-41,34
103,40,-41,34
101,40,-41,35
100,40,-42,35
98,40,-42,36
96,40,-43,36
95,40,-43,37
93,40,-44,37
92,40,-44,38
90,40,-45,38
