theta_x, theta_y, target_x, target_y
-8.759765625000000000e+01,0.000000000000000000e+00,4.520000000000000000e+02,4.160000000000000000e+02
-4.833984375000000000e+01,0.000000000000000000e+00,4.500000000000000000e+02,4.165000000000000000e+02
-8.789062500000000000e-01,0.000000000000000000e+00,4.680000000000000000e+02,4.180000000000000000e+02
4.365234375000000000e+01,-2.929687500000000000e-01,4.550000000000000000e+02,4.180000000000000000e+02
8.701171875000000000e+01,0.000000000000000000e+00,4.540000000000000000e+02,4.165000000000000000e+02
-8.701171875000000000e+01,4.394531250000000000e+01,4.540000000000000000e+02,4.150000000000000000e+02
-4.716796875000000000e+01,4.365234375000000000e+01,4.560000000000000000e+02,4.150000000000000000e+02
-5.859375000000000000e-01,4.335937500000000000e+01,4.530000000000000000e+02,4.155000000000000000e+02
4.306640625000000000e+01,4.394531250000000000e+01,4.510000000000000000e+02,4.160000000000000000e+02
8.642578125000000000e+01,4.394531250000000000e+01,4.520000000000000000e+02,4.200000000000000000e+02
-8.408203125000000000e+01,8.818359375000000000e+01,4.525000000000000000e+02,4.145000000000000000e+02
-4.453125000000000000e+01,8.789062500000000000e+01,4.520000000000000000e+02,4.155000000000000000e+02
-5.859375000000000000e-01,8.818359375000000000e+01,4.510000000000000000e+02,4.160000000000000000e+02
4.130859375000000000e+01,8.818359375000000000e+01,4.630000000000000000e+02,4.030000000000000000e+02
8.349609375000000000e+01,8.818359375000000000e+01,4.510000000000000000e+02,4.225000000000000000e+02
